品番,品名,写真,図面,取説,施工,分解図本体,分解図_シャワー,購入,価格,価格（税込み）,備考,商品イメージ,バリエーション親品番,バリエーション順序,カタログ年度,カタログページ,検索ワード,分岐金具,分岐金具,分岐金具,発売時期,代替品,本体取付穴,ピッチ,シャワーS取付穴,削除,カテゴリID
PZKF2SIL,ｼｬﾜｰｾｯﾄ 白 1.6m,,,,,,,,3,3,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZKF20SIL-2,ｼｬﾜｰｾｯﾄ 白 1.6m AM付,,,,,,,,5,5,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZKF150L-2,ｼｬﾜｰｾｯﾄ 白1.6m DX AM付,,,,,,,,5,6,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZKF150L,ｼｬﾜｰｾｯﾄ 白1.6m DXﾍｯﾄﾞ,,,,,,,,5,5,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZ620L,ｼｬﾜｰｾｯﾄ 白1.6m STﾍｯﾄﾞ,,,,,,,,4,5,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZ620L-2,ｼｬﾜｰｾｯﾄ 白1.6m STﾍｯﾄﾞ AM付,,,,,,,,5,5,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZ620SL-2,ｼｬﾜｰｾｯﾄ 白1.6m 節水ﾍｯﾄﾞ AM付,,,,,,,,5,5,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZ620AL-2,ｼｬﾜｰｾｯﾄ 白1.6m 白STﾍｯﾄﾞ,,,,,,,,5,5,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZ970GL,ｼｬﾜｰｾｯﾄｸﾞﾚｰ1.6m ｸﾞﾚｰASﾍｯﾄﾞ,,,,,,,,4,5,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZ970GL-2,ｼｬﾜｰｾｯﾄｸﾞﾚｰ1.6m ｸﾞﾚｰASﾍｯﾄﾞ AM付,,,,,,,,5,5,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZ624L,ｼｬﾜｰｾｯﾄｸﾞﾚｰ1.6m ｸﾞﾚｰSTﾍｯﾄﾞ,,,,,,,,4,5,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZ622L,ｼｬﾜｰｾｯﾄｸﾛ1.6MSTﾍｯﾄﾞ,,,,,,,,4,4,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZ970LM-2,ｼｬﾜｰｾｯﾄﾒﾀﾙ 1.6m 白ASﾍｯﾄﾞ,,,,,,,,8,8,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZKF20LM,ｼｬﾜｰｾｯﾄﾒﾀﾙ1.6M,,,,,,,,7,7,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZ621LM,ｼｬﾜｰｾｯﾄﾒﾀﾙ1.6MSTﾍｯﾄﾞ,,,,,,,,7,7,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZ970RL,ｼｬﾜｰｾｯﾄﾜｲﾝﾚｯﾄﾞ 1.6m ﾜｲﾝﾚｯﾄﾞASﾍｯﾄﾞ,,,,,,,,4,5,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZ970RL-2,ｼｬﾜｰｾｯﾄﾜｲﾝﾚｯﾄﾞ 1.6m ﾜｲﾝﾚｯﾄﾞASﾍｯﾄﾞ AM付,,,,,,,,5,5,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZ970C5L,ｼｬﾜｰｾｯﾄ黒 1.6m ASﾍｯﾄﾞ,,,,,,,,4,5,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZ970C5L-2,ｼｬﾜｰｾｯﾄ黒 1.6m ASﾍｯﾄﾞ AM付,,,,,,,,5,5,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZ970L,ｼｬﾜｰｾｯﾄ白 1.6m 白ASﾍｯﾄﾞ,,,,,,,,4,5,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZ970L-2,ｼｬﾜｰｾｯﾄ白 1.6m 白ASﾍｯﾄﾞ AM付,,,,,,,,5,5,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZ970LM,ｼｬﾜｰｾｯﾄ白 1.6m 白ASﾍｯﾄﾞ AM付,,,,,,,,7,8,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZ319,ｼｬﾜｰﾍｯﾄﾞ,,,,,,,,2,2,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZ348,ｼｬﾜｰﾍｯﾄﾞ,,,,,,,,4,4,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZKF26-1,ｼｬﾜｰﾍｯﾄﾞOﾘﾝｸﾞ,,,,,,,,200,216,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZKF249-1,ｼｬﾜｰﾍｯﾄﾞｱﾀｯﾁﾒﾝﾄ,,,,,,,,810,875,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZKF149-2,ｼｬﾜｰﾍｯﾄﾞｱﾀｯﾁﾒﾝﾄ INAX用,,,,,,,,810,875,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZKF149-3,ｼｬﾜｰﾍｯﾄﾞｱﾀｯﾁﾒﾝﾄ MYM用,,,,,,,,810,875,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZKF249-2,ｼｬﾜｰﾍｯﾄﾞｱﾀｯﾁﾒﾝﾄ2,,,,,,,,810,875,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZKF249-3,ｼｬﾜｰﾍｯﾄﾞｱﾀｯﾁﾒﾝﾄ3,,,,,,,,810,875,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZKF149JS,ｼｬﾜｰﾍｯﾄﾞｱﾀｯﾁﾒﾝﾄｾｯﾄ,,,,,,,,770,832,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
Z924AH2,ｼｬﾜｰﾍｯﾄﾞｾｯﾄ,,,,,,,,11,12,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZKF2GL,ｼｬﾜｰﾎｰｽｾｯﾄ,,,,,,,,3,3,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZKF2GL-2,ｼｬﾜｰﾎｰｽｾｯﾄ,,,,,,,,4,4,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
Z46736,ｼｬﾜｰﾎｰｽｾｯﾄ,,,,,,,,8,9,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
Z49855,ｼｬﾜｰﾎｰｽｾｯﾄ,,,,,,,,7,8,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
ZKF157SIL,ｼｬﾜｰﾎｰｽｾｯﾄ角小付き(ﾎﾜｲﾄ)1.6,,,,,,,,4,4,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZKF171S,ｼｬﾜｰﾎｰｽﾅｯﾄｾｯﾄ,,,,,,,,1,1,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZKF26-3,ｼｬﾜｰﾎｰｽﾊﾟｯｷﾝｾｯﾄ,,,,,,,,270,292,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZKF80,ｼｬﾜｰﾎｰｽ接続ﾊﾟｯｷﾝ,,,,,,,,300,324,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZKF70,ｼｬﾜｰﾎｰｽ用Uﾊﾟｯｷﾝ,,,,,,,,150,162,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZKF171S-5,ｼｬﾜｰﾎｰｽ両側ﾅｯﾄｾｯﾄ φ16,,,,,,,,2,2,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZKF172S,ｼｬﾜｰﾎｰｽ六角ﾅｯﾄｾｯﾄ,,,,,,,,960,1,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZ215,ｼｬﾜｰ切換ﾚﾊﾞｰ,,,,,,,,950,1,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZKF74N,ｼｬﾜｰ切換ﾚﾊﾞｰ30N2.40N2用,,,,,,,,840,907,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZKF74D,ｼｬﾜｰ切換ﾚﾊﾞｰKF100G用,,,,,,,,840,907,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZKF74A,ｼｬﾜｰ切換ﾚﾊﾞｰKF100N用,,,,,,,,840,907,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZKF74B,ｼｬﾜｰ切換ﾚﾊﾞｰKF12.13用,,,,,,,,840,907,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZKF74G,ｼｬﾜｰ切換ﾚﾊﾞｰKF2G用,,,,,,,,840,907,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZKF74,ｼｬﾜｰ切換ﾚﾊﾞｰKF30N用,,,,,,,,840,907,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZ437,ｼｬﾜｰ切換ﾚﾊﾞｰ部一式,,,,,,,,4,4,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZ44,ｼｬﾜｰ切換ﾚﾊﾞｰ部一式,,,,,,,,3,3,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZ489,ｼｬﾜｰ切換ﾚﾊﾞｰ部一式,,,,,,,,3,3,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZKF3G,ｼｬﾜｰ切換ﾚﾊﾞｰ部一式,,,,,,,,3,3,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZKF3GN,ｼｬﾜｰ切換ﾚﾊﾞｰ部一式,,,,,,,,3,3,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZKF4G,ｼｬﾜｰ切換ﾚﾊﾞｰ部一式,,,,,,,,2,2,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZKF4GN,ｼｬﾜｰ切換ﾚﾊﾞｰ部一式,,,,,,,,3,3,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZKF5G,ｼｬﾜｰ切換ﾚﾊﾞｰ部一式,,,,,,,,4,4,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZKF5SG,ｼｬﾜｰ切換ﾚﾊﾞｰ部一式,,,,,,,,3,3,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZKF6G,ｼｬﾜｰ切換ﾚﾊﾞｰ部一式,,,,,,,,3,3,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZ432,ｼｬﾜｰ切換弁ﾕﾆｯﾄ,,,,,,,,4,5,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZ27-35,ｼｬﾜｰ付ﾌﾚｷ出湯管 350mm,,,,,,,,4,4,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZKF66J,ｼｬﾜ-ｴﾙﾎﾞｾｯﾄ,,,,,,,,2,2,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZK12H2,ｼｬﾜ-ﾊﾝｶﾞ-ｾﾂﾄ,,,,,,,,980,1,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
Z411801,ｼﾞｮｲﾝﾄ,,,,,,,,1,1,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZ411489S,ｼﾞｮｲﾝﾄｾｯﾄ,,,,,,,,2,2,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZK23,ｼﾞｮｲﾝﾄﾊﾟｯｷﾝ,,,,,,,,180,194,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZ420408,ｼﾞｮｲﾝﾄﾕﾆｯﾄ,,,,,,,,2,3,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZK262,ｼﾝｸｼｬﾜｰ,,,,,,,,540,583,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZK272,ｼﾝｸｼｬﾜｰ,,,,,,,,1,1,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZKM110N,ｼﾝｸﾞﾙﾚﾊﾞｰｶｰﾄﾘｯｼﾞ 下吐水用,,,,,,,,7,8,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZKM110,ｼﾝｸﾞﾙﾚﾊﾞｰｶｰﾄﾘｯｼﾞ 上吐水用,,,,,,,,6,7,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZKM110A,ｼﾝｸﾞﾙﾚﾊﾞｰｶｰﾄﾘｯｼﾞ 上吐水用,,,,,,,,6,6,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZ110YBEC,ｼﾝｸﾞﾙﾚﾊﾞｰｶｰﾄﾘｯｼﾞ(eﾚﾊﾞｰ用),,,,,,,,6,6,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZKM110C,ｼﾝｸﾞﾙﾚﾊﾞｰｶｰﾄﾘｯｼﾞ(上げ吐水用）,,,,,,,,6,6,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZ110Y,ｼﾝｸﾞﾙﾚﾊﾞｰｶｰﾄﾘｯｼﾞ(上げ吐水用) ﾜﾝﾀｯﾁﾀｲﾌﾟ,,,,,,,,4,4,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
PZ110YB,ｼﾝｸﾞﾙﾚﾊﾞｰｶｰﾄﾘｯｼﾞ(上げ吐水用) 前ﾋﾞｽﾀｲﾌﾟ,,,,,,,,4,4,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
FA200,ｼﾝｸﾞﾙﾚﾊﾞｰ混合栓,,FA200_Z.pdf,,,FA200_B.pdf,,,0,0,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
FA207E,ｼﾝｸﾞﾙﾚﾊﾞｰ混合栓,,,,,FA207E_B.pdf,,,0,0,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
FA705H,ｼﾝｸﾞﾙﾚﾊﾞｰ混合栓,,,,,,,,0,0,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
FA707H,ｼﾝｸﾞﾙﾚﾊﾞｰ混合栓,,,,,FA707H_B.pdf,,,0,0,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
FM700,ｼﾝｸﾞﾙﾚﾊﾞｰ混合栓,,,,,,,,0,0,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
FM702,ｼﾝｸﾞﾙﾚﾊﾞｰ混合栓,,,,,FM702_B.pdf,,,0,0,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
FM705,ｼﾝｸﾞﾙﾚﾊﾞｰ混合栓,,,,,,,,0,0,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
FM707,ｼﾝｸﾞﾙﾚﾊﾞｰ混合栓,,,,,,,,0,0,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KM300,ｼﾝｸﾞﾙﾚﾊﾞｰ混合栓,,KM300_Z.pdf,,,,,,0,0,,商品イメージ,,0,2014,1,,,,,86～91,KM5000,,,,0,1100
KM300AS,ｼﾝｸﾞﾙﾚﾊﾞｰ混合栓,,KM300AS_Z.pdf,KM300AS_T.pdf,KM300AS_S.pdf,KM300_B.pdf,,,21,23,,商品イメージ,,0,2014,1,,,,,96～03,KM5000,,,,0,1100
KM300AS,ｼﾝｸﾞﾙﾚﾊﾞｰ混合栓,,KM300AS_Z.pdf,KM300AS_T.pdf,KM300AS_S.pdf,KM300_B.pdf,,,21,23,,商品イメージ,,0,2014,1,,,,,96～03,KM5000,,,,0,1200
KM300ASB,ｼﾝｸﾞﾙﾚﾊﾞｰ混合栓,,KM300AS_Z.pdf,KM300AS_T.pdf,KM300AS_S.pdf,KM300_B.pdf,,,23,24,,商品イメージ,,0,2014,1,,,,,96～03,KM5000T,,,,0,1100
KM300ASB,ｼﾝｸﾞﾙﾚﾊﾞｰ混合栓,,KM300AS_Z.pdf,,,KM300_B.pdf,,,23,24,,商品イメージ,,0,2014,1,,,,,96～03,KM5000T,,,,0,1200
KM300ASH,ｼﾝｸﾞﾙﾚﾊﾞｰ混合栓,,KM300ASH_Z.pdf,,,KM300_B.pdf,,,22,24,,商品イメージ,,0,2014,1,,,,,99～03,代替品なし,,,,0,1100
KM300G,ｼﾝｸﾞﾙﾚﾊﾞｰ混合栓,,KM300G_Z.pdf,,,KM300G_B.pdf,,,0,0,,商品イメージ,,0,2014,1,,,,,94～97,KM5000,,,,0,1100
KM301,ｼﾝｸﾞﾙﾚﾊﾞｰ混合栓,,,,,KM301_B.pdf,,,0,0,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KM302,ｼﾝｸﾞﾙﾚﾊﾞｰ混合栓,,,,,KM302_B.pdf,,,0,0,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KM302N(A),ｼﾝｸﾞﾙﾚﾊﾞｰ混合栓,,KM302N_Z.pdf,,,KM302N_B.pdf,,,0,0,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KM300AST,ｼﾝｸﾞﾙﾚﾊﾞｰ混合栓分岐水栓付,,,,,KM300AST_B.pdf,,,29,31,,商品イメージ,,0,2014,1,,,,,99～00,KM5000CHTU,,,,0,1100
KF300,ｼﾝｸﾞﾙﾚﾊﾞｰ式ｼｬﾜｰ,,,,,,,,0,0,,商品イメージ,,0,2014,1,,,,,86～91,KF5000,,,,0,1100
KF300AS,ｼﾝｸﾞﾙﾚﾊﾞｰ式ｼｬﾜｰ,,KF300AS_Z.pdf,KM300AS_T.pdf,KM300AS_S.pdf,KF300AS_B.pdf,,,33,36,,商品イメージ,,0,2014,1,,,,,96～04,KF5000,,,,0,1100
KF300ASB,ｼﾝｸﾞﾙﾚﾊﾞｰ式ｼｬﾜｰ,,KF300AS_Z.pdf,KM300AS_T.pdf,KM300AS_S.pdf,KF300ASB_B.pdf,,,31,34,,商品イメージ,,0,2014,1,,,,,96～04,KF5000T,,,,0,1100
KF300ASU,ｼﾝｸﾞﾙﾚﾊﾞｰ式ｼｬﾜｰ,,KF300ASU_Z.pdf,,,KF300ASU_B.pdf,,,33,35,,商品イメージ,,0,2014,1,,,,,00～03,KF5000U,,,,0,1100
KF300G,ｼﾝｸﾞﾙﾚﾊﾞｰ式ｼｬﾜｰ,,,,,KF300G_B.pdf,,,0,0,,商品イメージ,,0,2014,1,,,,,95～97,KF5000,,,,0,1100
KF300N,ｼﾝｸﾞﾙﾚﾊﾞｰ式ｼｬﾜｰ,,,,,KF300N_B.pdf,,,0,0,,商品イメージ,,0,2014,1,,,,,87～95,KF5000,,,,0,1100
KF5000,ｼﾝｸﾞﾙﾚﾊﾞｰ式ｼｬﾜｰ,,KF5000_Z.pdf,KF5000_T.pdf,KF5000_S.pdf,KF5000_B.pdf,,,36,38,,商品イメージ,,0,2014,1,,,,,12～,,,,,0,1100
KF5000T,ｼﾝｸﾞﾙﾚﾊﾞｰ式ｼｬﾜｰ,,KF5000_Z.pdf,KF5000_T.pdf,KF5000_S.pdf,KF5000T_B.pdf,,,37,40,,商品イメージ,,0,2014,1,,,,,12～,,,,,0,1100
KF5000W,ｼﾝｸﾞﾙﾚﾊﾞｰ式ｼｬﾜｰ,,KF5000_Z.pdf,KF5000_T.pdf,KF5000_S.pdf,KF5000_B.pdf,,,38,42,,商品イメージ,,0,2014,1,,,,,12～,,,,,0,1100
KF5000WT,ｼﾝｸﾞﾙﾚﾊﾞｰ式ｼｬﾜｰ,,KF5000_Z.pdf,KF5000_T.pdf,KF5000_S.pdf,KF5000T_B.pdf,,,40,43,,商品イメージ,,0,2014,1,,,,,12～,,,,,0,1100
KF5000Z,ｼﾝｸﾞﾙﾚﾊﾞｰ式ｼｬﾜｰ,,KF5000_Z.pdf,KF5000_T.pdf,KF5000_S.pdf,KF5000_B.pdf,,,37,40,,商品イメージ,,0,2014,1,,,,,12～,,,,,0,1100
KF5000ZT,ｼﾝｸﾞﾙﾚﾊﾞｰ式ｼｬﾜｰ,,KF5000_Z.pdf,KF5000_T.pdf,KF5000_S.pdf,KF5000T_B.pdf,,,39,42,,商品イメージ,,0,2014,1,,,,,12～,,,,,0,1100
KF500A,ｼﾝｸﾞﾙﾚﾊﾞｰ式ｼｬﾜｰ,,KF500A_Z.pdf,KM500A_T.pdf,KM500A_S.pdf,KF500A_B.pdf,,,40,43,,商品イメージ,,0,2014,1,,,,,88～09,KF5000,,,,0,1100
KF550,ｼﾝｸﾞﾙﾚﾊﾞｰ式ｼｬﾜｰ,,KF550_Z.pdf,KM550_T.pdf,KM550_S.pdf,KF550_B.pdf,,,34,36,,商品イメージ,,0,2014,1,,,,,04～12,KF5000,,,,0,1100
KF550G,ｼﾝｸﾞﾙﾚﾊﾞｰ式ｼｬﾜｰ,,KF550_Z.pdf,KM550_T.pdf,KM550_S.pdf,KF550G_B.pdf,,,35,38,,商品イメージ,,0,2014,1,,,,,04～12,KF5000T,,,,0,1100
KF550GHB,ｼﾝｸﾞﾙﾚﾊﾞｰ式ｼｬﾜｰ,,KF550HB_Z.pdf,KM550_T.pdf,KM550_S.pdf,KF550G_B.pdf,,,36,39,,商品イメージ,,0,2014,1,,,,,05～09,KF5000THA,,,,0,1100
KF550W,ｼﾝｸﾞﾙﾚﾊﾞｰ式ｼｬﾜｰ,,KF550_Z.pdf,KM550_T.pdf,KM550_S.pdf,KF550_B.pdf,,,37,39,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KF550WG,ｼﾝｸﾞﾙﾚﾊﾞｰ式ｼｬﾜｰ,,KF550_Z.pdf,KM550_T.pdf,KM550_S.pdf,KF550G_B.pdf,,,38,41,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KF550Z,ｼﾝｸﾞﾙﾚﾊﾞｰ式ｼｬﾜｰ,,KF550_Z.pdf,KM550_T.pdf,KM550_S.pdf,KF550_B.pdf,,,35,38,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KF550ZG ,ｼﾝｸﾞﾙﾚﾊﾞｰ式ｼｬﾜｰ,,KF550_Z.pdf,KM550_T.pdf,KM550_S.pdf,KF550G_B.pdf,,,0,0,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KF600A,ｼﾝｸﾞﾙﾚﾊﾞｰ式ｼｬﾜｰ,,,,,KF600A_B.pdf,,,0,0,,商品イメージ,,0,2014,1,,,,,92～98,KF5000T,,,,0,1100
KF600C4,ｼﾝｸﾞﾙﾚﾊﾞｰ式ｼｬﾜｰ,,,,,KF600C_B.pdf,,,0,0,,商品イメージ,,0,2014,1,,,,,,,,,,0,1100
KF5000HA,ｼﾝｸﾞﾙﾚﾊﾞｰ式ｼｬﾜｰ 楽締めｿｹｯﾄ付,,KF5000HA_Z.pdf,KM5000HA_T.pdf,KM5000HA_S.pdf,KF5000HA_B.pdf,,,37,40,,商品イメージ,,0,2014,1,,,,,12～,,,,,0,1100
KF5000THA,ｼﾝｸﾞﾙﾚﾊﾞｰ式ｼｬﾜｰ 楽締めｿｹｯﾄ付,,KF5000HA_Z.pdf,KM5000HA_T.pdf,KM5000HA_S.pdf,KF5000THA_B.pdf,,,38,41,,商品イメージ,,0,2014,1,,,,,12～,,,,,0,1100
KF550GHA,ｼﾝｸﾞﾙﾚﾊﾞｰ式ｼｬﾜｰ 楽締めｿｹｯﾄ付,,KF550HA_Z.pdf,KM550HA_T.pdf,KM550HA_S.pdf,KF550GHA_B.pdf,,,36,39,,商品イメージ,,0,2014,1,,,,,09～12,KF5000THA,,,,0,1100
KF550HA,ｼﾝｸﾞﾙﾚﾊﾞｰ式ｼｬﾜｰ 楽締めｿｹｯﾄ付,,KF550HA_Z.pdf,KM550HA_T.pdf,KM550HA_S.pdf,KF550HA_B.pdf,,,35,38,,商品イメージ,,0,2014,1,,,,,09～12,KF5000HA,,,,0,1100
KM550GHA,ｼﾝｸﾞﾙﾚﾊﾞｰ式ｼｬﾜｰ 楽締めｿｹｯﾄ付,,KM550HA_Z.pdf,KM550HA_T.pdf,KM550HA_S.pdf,KM550HA_B.pdf,,,25,27,,商品イメージ,,0,2014,1,,,,,09～11,KM5000THA,,,,0,1100
KF550HB,ｼﾝｸﾞﾙﾚﾊﾞｰ式ｼｬﾜｰ　早付け王ｿｹｯﾄ付,,KF550HB_Z.pdf,KM550_T.pdf,KM550_S.pdf,KF550_B.pdf,,,35,38,,商品イメージ,,0,2014,1,,,,,05～09,KF5000HA,,,,0,1100
KM300ASAH,ｼﾝｸﾞﾙﾚﾊﾞｰ式ｼｬﾜｰ付混合栓 200mmﾊﾟｲﾌﾟ仕様,,KM300ASAH_Z.pdf,,,KM300_B.pdf,,,24,25,,商品イメージ,,0,2014,1,,,,,01～03,KM5000TF,,,,0,1100
KM300ASBAH,ｼﾝｸﾞﾙﾚﾊﾞｰ式ｼｬﾜｰ付混合栓 200mmﾊﾟｲﾌﾟ仕様,,KM300ASAH_Z.pdf,,,KM300_B.pdf,,,25,27,,商品イメージ,,0,2014,1,,,,,01～03,KM5000TF,,,,0,1100
KM550F,ｼﾝｸﾞﾙﾚﾊﾞｰ式ｼｬﾜｰ付混合栓 200mmﾊﾟｲﾌﾟ付,,KM550F_Z.pdf,KM550_T.pdf,KM550_S.pdf,KM550F_B.pdf,,,25,27,,商品イメージ,,0,2014,1,,,,,03～12,KM5000TF,,,,0,1100
KM550GY,ｼﾝｸﾞﾙﾚﾊﾞｰ式ｼｬﾜｰ付混合栓 200mmﾊﾟｲﾌﾟ付,,KM550Y_Z.pdf,KM550_T.pdf,KM550_S.pdf,KM550F_B.pdf,,,28,30,,商品イメージ,,0,2014,1,,,,,03～12,KM5000TF,,,,0,1100
KM300AFB,ｼﾝｸﾞﾙﾚﾊﾞｰ式ｼｬﾜｰ付混合栓 ｵｰﾌﾟﾝｼｬﾜｰ付,,,,,KM300AFB_B.pdf,,,33,35,,商品イメージ,,0,2014,1,,,,,01～03,KM5000TP,,,,0,1100
KM550P,ｼﾝｸﾞﾙﾚﾊﾞｰ式ｼｬﾜｰ付混合栓 ｵｰﾌﾟﾝﾎｰｽ付,,KM550P_Z.pdf,KM550P_T.pdf,KM550P_S.pdf,KM550P_B.pdf,,,36,39,,商品イメージ,,0,2014,1,,,,,03～12,KM5000TP,,,,0,1100
KM550PG,ｼﾝｸﾞﾙﾚﾊﾞｰ式ｼｬﾜｰ付混合栓 ｵｰﾌﾟﾝﾎｰｽ付,,KM550P_Z.pdf,KM550P_T.pdf,KM550P_S.pdf,KM550P_B.pdf,,,37,40,,商品イメージ,,0,2014,1,,,,,03～12,KM5000TP,,,,0,1100
KM550PGY,ｼﾝｸﾞﾙﾚﾊﾞｰ式ｼｬﾜｰ付混合栓 ｵｰﾌﾟﾝﾎｰｽ付,,KM550PY_Z.pdf,KM550P_T.pdf,KM550P_S.pdf,KM550P_B.pdf,,,39,42,,商品イメージ,,0,2014,1,,,,,03～12,KM5000TTP,,,,0,1100
KM550PY,ｼﾝｸﾞﾙﾚﾊﾞｰ式ｼｬﾜｰ付混合栓 ｵｰﾌﾟﾝﾎｰｽ付,,KM550PY_Z.pdf,KM550P_T.pdf,KM550P_S.pdf,KM550P_B.pdf,,,38,41,,商品イメージ,,0,2014,1,,,,,03～12,KM5000TTP,,,,0,1100
KM300N,ｼﾝｸﾞﾙﾚﾊﾞｰ式混合栓,,KM300N_Z.pdf,,,,,,0,0,,商品イメージ,,0,2014,1,,,,,87～95,KM5000,,,,0,1100
KM340A,ｼﾝｸﾞﾙﾚﾊﾞｰ式混合栓,,,,,KM340A_B.pdf,,,30,32,,商品イメージ,,0,2014,1,,,,,90～99,KM5010T,,,,0,1100
