番号,品番,品名,希望小売価格,税込,品番,分解図,備考,削除
22,Z411392S,パイプジョイント,1080,1134,KF12(Z)E・KF12(Z)ER3,KF12(Z)E_B.png,,
23,ZKF79-15,パッキン,110,116,KF12(Z)E・KF12(Z)ER3,KF12(Z)E_B.png,,
1,PZK1GE-2,GEハンドルセット,1160,1218,KF13(Z)(R)GEC,KF13(Z)(R)GEC_B.png,,
2,PZK3GE-2,キャップセット(湯･水),530,557,KF13(Z)(R)GEC,KF13(Z)(R)GEC_B.png,,
3,ZK3A-16,丸小ねじ,110,116,KF13(Z)(R)GEC,KF13(Z)(R)GEC_B.png,,
4,PZK127,水栓上部パッキンセット,190,200,KF13(Z)(R)GEC,KF13(Z)(R)GEC_B.png,,
5,PZK75-13MN,スピンドルセット,490,515,KF13(Z)(R)GEC,KF13(Z)(R)GEC_B.png,,
6,PZK4E-15,こま(2ヶ入),270,284,KF13(Z)(R)GEC,KF13(Z)(R)GEC_B.png,,
7,PZ489,シャワー切替レバー部一式,3100,3255,KF13(Z)(R)GEC,KF13(Z)(R)GEC_B.png,,
8,PZ215,シャワー切替レバー(ビス付),950,998,KF13(Z)(R)GEC,KF13(Z)(R)GEC_B.png,,
9,Z250,切替ボンネット,2640,2772,KF13(Z)(R)GEC,KF13(Z)(R)GEC_B.png,,
10,PZ42-20,パッキンセット,290,305,KF13(Z)(R)GEC,KF13(Z)(R)GEC_B.png,,
11,ZK121-20,Xパッキン,160,168,KF13(Z)(R)GEC,KF13(Z)(R)GEC_B.png,,
12,PZKM13-19,吐水口,4730,4967,KF13(Z)(R)GEC,KF13(Z)(R)GEC_B.png,,
13,PZKM19,整流器セット,630,662,KF13(Z)(R)GEC,KF13(Z)(R)GEC_B.png,,
14,PZ42,パッキンセット,260,273,KF13(Z)(R)GEC,KF13(Z)(R)GEC_B.png,,
15,ZK121-13,Xパッキン,110,116,KF13(Z)(R)GEC,KF13(Z)(R)GEC_B.png,,
16,ZKF66JY,シャワーエルボ,2340,2457,KF13(Z)(R)GEC,KF13(Z)(R)GEC_B.png,,
17,ZKF91N,逆止弁,280,294,KF13(Z)(R)GEC,KF13(Z)(R)GEC_B.png,,
18,ZKF80,シャワーホース接続パッキン,80,84,KF13(Z)(R)GEC,KF13(Z)(R)GEC_B.png,,
19,Z490,ボンネット,1160,1218,KF13(Z)(R)GEC,KF13(Z)(R)GEC_B.png,,
20,ZKF18,シートパッキン,490,515,KF13(Z)(R)GEC,KF13(Z)(R)GEC_B.png,,
21,PZK105,立水栓菊座ナットセット,390,410,KF13(Z)(R)GEC,KF13(Z)(R)GEC_B.png,,
,寒冷地用(KF13Z(R)GEC),,,,KF13(Z)(R)GEC,KF13(Z)(R)GEC_B.png,,
22,PZK75K-13MN,ビス止スピンドルセット,570,599,KF13(Z)(R)GEC,KF13(Z)(R)GEC_B.png,,
23,PZK4K-15,ビス止用こまパッキンセット(2ヶ入),300,315,KF13(Z)(R)GEC,KF13(Z)(R)GEC_B.png,,
24,PZKF66J,シャワーエルボ,2090,2195,KF13(Z)(R)GEC,KF13(Z)(R)GEC_B.png,,
1,PZK1ED-2,EDハンドルセット,990,1040,KF14(Z)E・KF14(Z)ER2(3),KF14(Z)E_B.png,,
2,PZK3ED-2,キャップセット(湯･水),280,294,KF14(Z)E・KF14(Z)ER2(3),KF14(Z)E_B.png,,
3,ZK3A-16,丸小ねじ,110,116,KF14(Z)E・KF14(Z)ER2(3),KF14(Z)E_B.png,,
4,PZK127,水栓上部パッキンセット,190,200,KF14(Z)E・KF14(Z)ER2(3),KF14(Z)E_B.png,,
5,ZK75-13MN1,スピンドルセット,480,504,KF14(Z)E・KF14(Z)ER2(3),KF14(Z)E_B.png,,
6,PZK4E-15,こま(2ヶ入),270,284,KF14(Z)E・KF14(Z)ER2(3),KF14(Z)E_B.png,,
7,PZ489,シャワー切替レバー部一式,3100,3255,KF14(Z)E・KF14(Z)ER2(3),KF14(Z)E_B.png,,
8,PZ215,シャワー切替レバー(ビス付),950,998,KF14(Z)E・KF14(Z)ER2(3),KF14(Z)E_B.png,,
