番号,品番,品名,希望小売価格,税込,品番,分解図,備考,削除
17,PZ364W,ジョイントユニット,,,KF605(Z)C・KF605(Z)C4,KF605(Z)C_B.png,,0
18,ZKF141PWN2,水抜きユニット,7520,7896,KF605(Z)C・KF605(Z)C4,KF605(Z)C_B.png,廃番商品,0
19,PZK1GL-2,GLハンドルセット,1110,1166,KF605(Z)C・KF605(Z)C4,KF605(Z)C_B.png,,0
20,ZK3A-16,丸小ねじ,110,116,KM1,KM1_B.png,,0
21,PZK3GL-2,キャップセット(湯･水),280,294,KM1,KM1_B.png,,0
,PZK75-13MN,スピンドルセット,490,515,KM1,KM1_B.png,,0
22,PZK127,水栓上部パッキンセット,190,200,KM1,KM1_B.png,,0
23,PZK81-17,吐水口,1370,1439,KM1,KM1_B.png,,0
24,PZ42,パッキンセット,260,273,KM1,KM1_B.png,,0
,ZK121-13,Ｘパッキン,110,116,KM1,KM1_B.png,,0
,PZK4E-15,こま,270,284,KM1,KM1_B.png,,0
,PZKF79-15,ソケット部接続パッキン(2ヶ入),180,189,KM1,KM1_B.png,,0
,ZKF1,送り座,540,567,KM1,KM1_B.png,,0
,寒冷地用,,,,KM1,KM1_B.png,,0
,PZK75K-13MN,ビス止スピンドルセット,570,599,KM1,KM1_B.png,,0
,PZK4K-15,ビス止用こまパッキンセット,300,315,KM1,KM1_B.png,,0
,ZK3GE,青キャップ,460,483,KM1,KM1_B.png,,0
,ZK3GER,赤キャップ,460,483,KM2G(WZ)・KM2GN(WZ),KM2G(WZ)_B.png,,0
,PZK3GE-2,キャップセット(湯･水),530,557,KM2G(WZ)・KM2GN(WZ),KM2G(WZ)_B.png,,0
,PZK1GE-2,GEハンドルセット,1160,1218,KM2G(WZ)・KM2GN(WZ),KM2G(WZ)_B.png,,0
,ZK3A-16,丸小ねじ,110,116,KM2G(WZ)・KM2GN(WZ),KM2G(WZ)_B.png,,0
,PZK127,水栓上部パッキンセット,190,200,KM2G(WZ)・KM2GN(WZ),KM2G(WZ)_B.png,,0
,PZK75-13MN,スピンドルセット,490,515,KM2G(WZ)・KM2GN(WZ),KM2G(WZ)_B.png,,0
,PZK4JE4-15,KV式節水こま(水側),380,399,KM2G(WZ)・KM2GN(WZ),KM2G(WZ)_B.png,,0
,PZK4E-15,こま(湯側),270,284,KM2G(WZ)・KM2GN(WZ),KM2G(WZ)_B.png,,0
,PZ42-20,パッキンセット20mm,290,305,KM2G(WZ)・KM2GN(WZ),KM2G(WZ)_B.png,,0
,PZ525-15,吐水口,4730,4967,KM2G(WZ)・KM2GN(WZ),KM2G(WZ)_B.png,,0
,Z512CP,吐水口先端部一式,2420,2541,KM2G(WZ)・KM2GN(WZ),KM2G(WZ)_B.png,,0
,ZK121-20,Xパッキン,160,168,KM2G(WZ)・KM2GN(WZ),KM2G(WZ)_B.png,,0
,PZ511CP3,整流器キャップセット,950,998,KM2G(WZ)・KM2GN(WZ),KM2G(WZ)_B.png,,0
,PZKF79-15,ソケット部接続パッキン(2ヶ入),180,189,KM2G(WZ)・KM2GN(WZ),KM2G(WZ)_B.png,,0
,PZKM36,ソケットセット,,,KM2G(WZ)・KM2GN(WZ),KM2G(WZ)_B.png,,0
,ZKF1,送り座,540,567,KM2G(WZ)・KM2GN(WZ),KM2G(WZ)_B.png,廃番商品,0
,KM2GN仕様,,,,KM2G(WZ)・KM2GN(WZ),KM2G(WZ)_B.png,,0
,ZK66A2,吐水口先端部一式,1180,1239,KM2G(WZ)・KM2GN(WZ),KM2G(WZ)_B.png,,0
,寒冷地用(KM2G(N)WZ),,,,KM2G(WZ)・KM2GN(WZ),KM2G(WZ)_B.png,,0
,PZK75JK-13MN,ビス止スピンドルセット(水側）,600,630,KM2G(WZ)・KM2GN(WZ),KM2G(WZ)_B.png,,0
,PZK75K-13MN,ビス止スピンドルセット(湯側）,570,599,KM2G(WZ)・KM2GN(WZ),KM2G(WZ)_B.png,,0
,PZK4KJE4-15,ビス止用節水パッキンセット(水側）,350,368,KM2G(WZ)・KM2GN(WZ),KM2G(WZ)_B.png,,0
,PZK4K-15,ビス止用こまパッキンセット(湯側）,300,315,KM2G(WZ)・KM2GN(WZ),KM2G(WZ)_B.png,,0
,ZKM122P1,ソケットセット,,,KM2G(WZ)・KM2GN(WZ),KM2G(WZ)_B.png,,0
,PZKF191,水抜きスピンドル,470,494,KM2G(WZ)・KM2GN(WZ),KM2G(WZ)_B.png,廃番商品,0
,ZKF60N2,流量調節止水弁,940,987,KM2G(WZ)・KM2GN(WZ),KM2G(WZ)_B.png,,0
,ZK3GE,青キャップ,460,483,KM2G(WZ)・KM2GN(WZ),KM2G(WZ)_B.png,,0
,ZK3GER,赤キャップ,460,483,KM2G2(Z),KM2G2(Z)_B.png,,0
,PZK3GE-2,キャップセット(湯･水),530,557,KM2G2(Z),KM2G2(Z)_B.png,,0
,PZK1GE-2,GEハンドルセット,1160,1218,KM2G2(Z),KM2G2(Z)_B.png,,0
,ZK3A-16,丸小ねじ,110,116,KM2G2(Z),KM2G2(Z)_B.png,,0
,PZK127,水栓上部パッキンセット,190,200,KM2G2(Z),KM2G2(Z)_B.png,,0
,PZK75-13MN,スピンドルセット,490,515,KM2G2(Z),KM2G2(Z)_B.png,,0
,PZK4JE4-15,KV式節水こま(水側）,380,399,KM2G2(Z),KM2G2(Z)_B.png,,0
,PZK4E-15,こま(湯側）,270,284,KM2G2(Z),KM2G2(Z)_B.png,,0
,PZ42-20,パッキンセット20mm,290,305,KM2G2(Z),KM2G2(Z)_B.png,,0
,PZ525-15,吐水口,4730,4967,KM2G2(Z),KM2G2(Z)_B.png,,0
,Z512CP,吐水口先端部一式,2420,2541,KM2G2(Z),KM2G2(Z)_B.png,,0
,ZK121-20,Xパッキン,160,168,KM2G2(Z),KM2G2(Z)_B.png,,0
,PZ511CP3,整流器キャップセット,950,998,KM2G2(Z),KM2G2(Z)_B.png,,0
,PZKF79-15,ソケット部接続パッキン(2ヶ入),180,189,KM2G2(Z),KM2G2(Z)_B.png,,0
,ZKM87,ソケットセット,6330,6647,KM2G2(Z),KM2G2(Z)_B.png,,0
,ZKF1,送り座,540,567,KM2G2(Z),KM2G2(Z)_B.png,,0
,寒冷地用(KM2G2Z),,,,KM2G2(Z),KM2G2(Z)_B.png,,0
,PZK75JK-13MN,ビス止スピンドルセット(水側）,600,630,KM2G2(Z),KM2G2(Z)_B.png,,0
,PZK75K-13MN,ビス止スピンドルセット(湯側）,570,599,KM2G2(Z),KM2G2(Z)_B.png,,0
,PZK4KJE4-15,ビス止用節水パッキンセット(水側）,350,368,KM2G2(Z),KM2G2(Z)_B.png,,0
,PZK4K-15,ビス止用こまパッキンセット(湯側）,300,315,KM2G2(Z),KM2G2(Z)_B.png,,0
,ZKM87W,ソケットセット,8250,8663,KM2G2(Z),KM2G2(Z)_B.png,,0
,Z403,水抜きスピンドル,490,515,KM2G2(Z),KM2G2(Z)_B.png,,0
,PZK1W85S-3,ハンドルセット,1320,1386,KM2G2(Z),KM2G2(Z)_B.png,,0
,ZK3W85S-2,キャップセット(湯･水),630,662,KM2G3(Z)・KM2G3(Z)R24,KM2G3(Z)_B.png,,0
,ZK3A-16,丸小ねじ,110,116,KM2G3(Z)・KM2G3(Z)R24,KM2G3(Z)_B.png,,0
,PZK127,水栓上部パッキンセット,190,200,KM2G3(Z)・KM2G3(Z)R24,KM2G3(Z)_B.png,,0
,PZK75-13MN,スピンドルセット,490,515,KM2G3(Z)・KM2G3(Z)R24,KM2G3(Z)_B.png,,0
,PZK4E-15,こま(2ヶ入),270,284,KM2G3(Z)・KM2G3(Z)R24,KM2G3(Z)_B.png,,0
,ZK121-20,Xパッキン,160,168,KM2G3(Z)・KM2G3(Z)R24,KM2G3(Z)_B.png,,0
,PZ42-20,パッキンセット20mm,290,305,KM2G3(Z)・KM2G3(Z)R24,KM2G3(Z)_B.png,,0
,PZ525-15,吐水口,4730,4967,KM2G3(Z)・KM2G3(Z)R24,KM2G3(Z)_B.png,,0
,PZ525-24,吐水口,5940,6237,KM2G3(Z)・KM2G3(Z)R24,KM2G3(Z)_B.png,,0
,Z512CP,吐水口先端部一式,2420,2541,KM2G3(Z)・KM2G3(Z)R24,KM2G3(Z)_B.png,,0
,PZ511CP3,整流器キャップセット,950,998,KM2G3(Z)・KM2G3(Z)R24,KM2G3(Z)_B.png,,0
,PZKF79-15,ソケット部接続パッキン(2ヶ入),180,189,KM2G3(Z)・KM2G3(Z)R24,KM2G3(Z)_B.png,,0
,ZKM87,ソケットセット,6330,6647,KM2G3(Z)・KM2G3(Z)R24,KM2G3(Z)_B.png,,0
,ZKF1,送り座,540,567,KM2G3(Z)・KM2G3(Z)R24,KM2G3(Z)_B.png,,0
,寒冷地用(KM2G3Z・KM2G3ZR24),,,,KM2G3(Z)・KM2G3(Z)R24,KM2G3(Z)_B.png,,0
,PZK75K-13MN,ビス止スピンドルセット,570,599,KM2G3(Z)・KM2G3(Z)R24,KM2G3(Z)_B.png,,0
,PZK4K-15,ビス止用こまパッキンセット(2ヶ入),300,315,KM2G3(Z)・KM2G3(Z)R24,KM2G3(Z)_B.png,,0
,ZKM87W,ソケットセット,8250,8663,KM2G3(Z)・KM2G3(Z)R24,KM2G3(Z)_B.png,,0
,Z403,水抜きスピンドル,490,515,KM2G3(Z)・KM2G3(Z)R24,KM2G3(Z)_B.png,,0
,PZK1GE-2,GEハンドルセット,1160,1218,KM2G3(Z)・KM2G3(Z)R24,KM2G3(Z)_B.png,,0
,PZK3GE-2,キャップセット(湯･水),530,557,KM4G(WZ),KM4G(WZ)_B.png,,0
,ZK3A-16,丸小ねじ,110,116,KM4G(WZ),KM4G(WZ)_B.png,,0
,PZK75-13MN,スピンドルセット,490,515,KM4G(WZ),KM4G(WZ)_B.png,,0
