番号,品番,品名,希望小売価格,税込,品番,分解図,備考,削除
,Z420,ソケットセット,14000,14700,KM550(Z)H・KM550(Z)(W)HG・KM550(Z)HGS,KM550(Z)H_B.png,,0
,KM550WHG仕様,,,,KM550(Z)H・KM550(Z)(W)HG・KM550(Z)HGS,KM550(Z)H_B.png,,0
,Z403,水抜きスピンドル(WHG仕様),490,515,KM550(Z)H・KM550(Z)(W)HG・KM550(Z)HGS,KM550(Z)H_B.png,,0
,Z411614,逆止弁(WHG仕様),850,893,KM550(Z)H・KM550(Z)(W)HG・KM550(Z)HGS,KM550(Z)H_B.png,,0
,PZK1S550,レバーハンドルセット　白,1260,1323,KM550(Z)H・KM550(Z)(W)HG・KM550(Z)HGS,KM550(Z)H_B.png,,0
,PZK1S550G,レバーハンドルセット　メッキ,2580,2709,KM550(Z)HB・KM550(Z)GHB,KM550(Z)HB_B.png,,0
,ZK3S550,キャップ　白,290,305,KM550(Z)HB・KM550(Z)GHB,KM550(Z)HB_B.png,,0
,ZK3S550G,キャップ　メタリックグレー,390,410,KM550(Z)HB・KM550(Z)GHB,KM550(Z)HB_B.png,,0
,Z44482,丸小ねじ,110,116,KM550(Z)HB・KM550(Z)GHB,KM550(Z)HB_B.png,,0
,Z113,カートリッジ締付ナット,2520,2646,KM550(Z)HB・KM550(Z)GHB,KM550(Z)HB_B.png,,0
,PZ110S,カートリッジ,4260,4473,KM550(Z)HB・KM550(Z)GHB,KM550(Z)HB_B.png,,0
,PZ511-17,吐水口,2420,2541,KM550(Z)HB・KM550(Z)GHB,KM550(Z)HB_B.png,,0
,Z511CP,吐水口先端部一式,2100,2205,KM550(Z)HB・KM550(Z)GHB,KM550(Z)HB_B.png,,0
,PZ42,パッキンセット,260,273,KM550(Z)HB・KM550(Z)GHB,KM550(Z)HB_B.png,,0
,ZK121-13,Xパッキン,110,116,KM550(Z)HB・KM550(Z)GHB,KM550(Z)HB_B.png,,0
,PZ511CP3,整流器キャップセット,950,998,KM550(Z)HB・KM550(Z)GHB,KM550(Z)HB_B.png,,0
,PZKF79-15,ソケット部接続パッキン(2ヶ入),180,189,KM550(Z)HB・KM550(Z)GHB,KM550(Z)HB_B.png,,0
,Z411614,逆止弁,850,893,KM550(Z)HB・KM550(Z)GHB,KM550(Z)HB_B.png,,0
,Z66S,ソケットセット,,,KM550(Z)HB・KM550(Z)GHB,KM550(Z)HB_B.png,,0
,ZKF1,送り座,540,567,KM550(Z)HB・KM550(Z)GHB,KM550(Z)HB_B.png,廃番商品,0
,KM550GHB仕様,,,,KM550(Z)HB・KM550(Z)GHB,KM550(Z)HB_B.png,,0
,PZ520-17,吐水口,5520,5796,KM550(Z)HB・KM550(Z)GHB,KM550(Z)HB_B.png,,0
,Z520CP,吐水口先端部一式,1180,1239,KM550(Z)HB・KM550(Z)GHB,KM550(Z)HB_B.png,,0
,寒冷地用(KM550Z(G)HB),,,,KM550(Z)HB・KM550(Z)GHB,KM550(Z)HB_B.png,,0
,Z66SW,ソケットセット,,,KM550(Z)HB・KM550(Z)GHB,KM550(Z)HB_B.png,,0
,Z403,水抜きスピンドル,490,515,KM550(Z)HB・KM550(Z)GHB,KM550(Z)HB_B.png,廃番商品,0
,⑭Z411614はついておりません。,,,,KM550(Z)HB・KM550(Z)GHB,KM550(Z)HB_B.png,,0
,PZK1S550,レバーハンドルセット　白,1260,1323,KM550(Z)HB・KM550(Z)GHB,KM550(Z)HB_B.png,,0
,PZK1S550G,レバーハンドルセット　メッキ,2580,2709,KM550(Z)P・KM550(Z)PG・KM550(Z)PY・KM550(Z)PGY,KM550(Z)P_B.png,,0
,ZK3S550,キャップ　白,290,305,KM550(Z)P・KM550(Z)PG・KM550(Z)PY・KM550(Z)PGY,KM550(Z)P_B.png,,0
,ZK3S550G,キャップ　メタリックグレー,390,410,KM550(Z)P・KM550(Z)PG・KM550(Z)PY・KM550(Z)PGY,KM550(Z)P_B.png,,0
,Z44482,丸小ねじ,110,116,KM550(Z)P・KM550(Z)PG・KM550(Z)PY・KM550(Z)PGY,KM550(Z)P_B.png,,0
,Z113,カートリッジ締付ナット,2520,2646,KM550(Z)P・KM550(Z)PG・KM550(Z)PY・KM550(Z)PGY,KM550(Z)P_B.png,,0
,PZ110S,カートリッジ,4260,4473,KM550(Z)P・KM550(Z)PG・KM550(Z)PY・KM550(Z)PGY,KM550(Z)P_B.png,,0
,ZK121-13,Xパッキン,110,116,KM550(Z)P・KM550(Z)PG・KM550(Z)PY・KM550(Z)PGY,KM550(Z)P_B.png,,0
,Z594N,シャワーヘッド　白,4130,4337,KM550(Z)P・KM550(Z)PG・KM550(Z)PY・KM550(Z)PGY,KM550(Z)P_B.png,,0
,Z594GN,シャワーヘッド　グレー,4130,4337,KM550(Z)P・KM550(Z)PG・KM550(Z)PY・KM550(Z)PGY,KM550(Z)P_B.png,,0
,Z411419,ストレーナ,200,210,KM550(Z)P・KM550(Z)PG・KM550(Z)PY・KM550(Z)PGY,KM550(Z)P_B.png,,0
,Z412791,シャワーホースセット,8750,9188,KM550(Z)P・KM550(Z)PG・KM550(Z)PY・KM550(Z)PGY,KM550(Z)P_B.png,,0
,Z76J,シャワーエルボ　白,1840,1932,KM550(Z)P・KM550(Z)PG・KM550(Z)PY・KM550(Z)PGY,KM550(Z)P_B.png,,0
,Z76JG,シャワーエルボ　グレー,1840,1932,KM550(Z)P・KM550(Z)PG・KM550(Z)PY・KM550(Z)PGY,KM550(Z)P_B.png,,0
,ZKF80,シャワーホース接続パッキン,80,84,KM550(Z)P・KM550(Z)PG・KM550(Z)PY・KM550(Z)PGY,KM550(Z)P_B.png,,0
,PZKF79-15,ソケット部接続パッキン(2ヶ入),180,189,KM550(Z)P・KM550(Z)PG・KM550(Z)PY・KM550(Z)PGY,KM550(Z)P_B.png,,0
,ZKF60G,流量調節止水弁,830,872,KM550(Z)P・KM550(Z)PG・KM550(Z)PY・KM550(Z)PGY,KM550(Z)P_B.png,,0
,ZKM88N,ソケットセット,11700,12285,KM550(Z)P・KM550(Z)PG・KM550(Z)PY・KM550(Z)PGY,KM550(Z)P_B.png,,0
,ZKF1,送り座,540,567,KM550(Z)P・KM550(Z)PG・KM550(Z)PY・KM550(Z)PGY,KM550(Z)P_B.png,,0
,KM550PY・KM550PGY仕様,,,,KM550(Z)P・KM550(Z)PG・KM550(Z)PY・KM550(Z)PGY,KM550(Z)P_B.png,,0
,Z594FAH,シャワーセット,16900,17745,KM550(Z)P・KM550(Z)PG・KM550(Z)PY・KM550(Z)PGY,KM550(Z)P_B.png,,0
,Z924AH,３wayシャワーヘッド,7710,8096,KM550(Z)P・KM550(Z)PG・KM550(Z)PY・KM550(Z)PGY,KM550(Z)P_B.png,,0
,寒冷地用(KM550ZP・KM550ZPG・KM550ZPY・KM550ZPGY),,,,KM550(Z)P・KM550(Z)PG・KM550(Z)PY・KM550(Z)PGY,KM550(Z)P_B.png,,0
,Z89N,流量調節止水弁,940,987,KM550(Z)P・KM550(Z)PG・KM550(Z)PY・KM550(Z)PGY,KM550(Z)P_B.png,,0
,Z420,ソケットセット,14000,14700,KM550(Z)P・KM550(Z)PG・KM550(Z)PY・KM550(Z)PGY,KM550(Z)P_B.png,,0
,代替品,,,,KM550(Z)P・KM550(Z)PG・KM550(Z)PY・KM550(Z)PGY,KM550(Z)P_B.png,,0
,PZ5000FHPB,キッチンシャワーパイプ（グレー）,19000,19950,KM550(Z)P・KM550(Z)PG・KM550(Z)PY・KM550(Z)PGY,KM550(Z)P_B.png,,0
,PZ5000FHPT,キッチンシャワーパイプ（メッキ）,20100,21105,KM550(Z)P・KM550(Z)PG・KM550(Z)PY・KM550(Z)PGY,KM550(Z)P_B.png,,0
,ZK1S556G,レバーハンドルセット　メッキ,3670,3854,KM550(Z)P・KM550(Z)PG・KM550(Z)PY・KM550(Z)PGY,KM550(Z)P_B.png,,0
,ZK3S556G,キャップ　メタリックグレー,310,326,KM550(Z)PCS,KM550(Z)PCS_B.png,,0
,Z44482,丸小ねじ,110,116,KM550(Z)PCS,KM550(Z)PCS_B.png,,0
,Z113,カートリッジ締付ナット,2520,2646,KM550(Z)PCS,KM550(Z)PCS_B.png,,0
,PZ110S,カートリッジ,4260,4473,KM550(Z)PCS,KM550(Z)PCS_B.png,,0
,ZK121-13,Xパッキン,110,116,KM550(Z)PCS,KM550(Z)PCS_B.png,,0
,PZ924FAH4,浄水器付吐水口セット,21400,22470,KM550(Z)PCS,KM550(Z)PCS_B.png,,0
,Z924FAH3,シャワーセット,19100,20055,KM550(Z)PCS,KM550(Z)PCS_B.png,,0
,Z924AH2,シャワーヘッド,11900,12495,KM550(Z)PCS,KM550(Z)PCS_B.png,,0
,Z413598,ストレーナ,130,137,KM550(Z)PCS,KM550(Z)PCS_B.png,,0
,PZ968,浄水カートリッジ,4240,4452,KM550(Z)PCS,KM550(Z)PCS_B.png,,0
,Z414093,シャワーホースセット,8750,9188,KM550(Z)PCS,KM550(Z)PCS_B.png,,0
,Z76JG,シャワーエルボ,1840,1932,KM550(Z)PCS,KM550(Z)PCS_B.png,,0
,ZKF80,シャワーホース接続パッキン,80,84,KM550(Z)PCS,KM550(Z)PCS_B.png,,0
,ZKM88N,ソケットセット,11700,12285,KM550(Z)PCS,KM550(Z)PCS_B.png,,0
,ZKF60G,流量調節止水弁,830,872,KM550(Z)PCS,KM550(Z)PCS_B.png,,0
,PZKF79-15,ソケット部接続パッキン(2ヶ入),180,189,KM550(Z)PCS,KM550(Z)PCS_B.png,,0
,ZKF1,送り座,540,567,KM550(Z)PCS,KM550(Z)PCS_B.png,,0
,寒冷地用(KM550ZPCS),,,,KM550(Z)PCS,KM550(Z)PCS_B.png,,0
,PZ76,シャワーエルボ,1840,1932,KM550(Z)PCS,KM550(Z)PCS_B.png,,0
,Z420,ソケットセット,14000,14700,KM550(Z)PCS,KM550(Z)PCS_B.png,,0
,Z89N,流量調節止水弁,940,987,KM550(Z)PCS,KM550(Z)PCS_B.png,,0
,PZK1S568,レバーハンドルセット　白,1270,1334,KM550(Z)PCS,KM550(Z)PCS_B.png,,0
,ZK3S568,キャップ　白,290,305,KM550(Z)SS・KM550(Z)GSS,KM550(Z)SS_B.png,,0
,Z44482,丸小ねじ,110,116,KM550(Z)SS・KM550(Z)GSS,KM550(Z)SS_B.png,,0
,Z113,カートリッジ締付ナット,2520,2646,KM550(Z)SS・KM550(Z)GSS,KM550(Z)SS_B.png,,0
,PZ110S,カートリッジ,4260,4473,KM550(Z)SS・KM550(Z)GSS,KM550(Z)SS_B.png,,0
,PZ940,吐水口セット(アダプター付）,5360,5628,KM550(Z)SS・KM550(Z)GSS,KM550(Z)SS_B.png,,0
,Z940A,吐水口接続部,3780,3969,KM550(Z)SS・KM550(Z)GSS,KM550(Z)SS_B.png,,0
,Z940B,吐水パイプユニット,3050,3203,KM550(Z)SS・KM550(Z)GSS,KM550(Z)SS_B.png,,0
,PZK24,泡沫キャップセット,620,651,KM550(Z)SS・KM550(Z)GSS,KM550(Z)SS_B.png,,0
,PZ42,パッキンセット,260,273,KM550(Z)SS・KM550(Z)GSS,KM550(Z)SS_B.png,,0
,ZK121-13,Xパッキン,110,116,KM550(Z)SS・KM550(Z)GSS,KM550(Z)SS_B.png,,0
,PZKF79-15,ソケット部接続パッキン(2ヶ入),180,189,KM550(Z)SS・KM550(Z)GSS,KM550(Z)SS_B.png,,0
,ZKF60G,流量調節止水弁,830,872,KM550(Z)SS・KM550(Z)GSS,KM550(Z)SS_B.png,,0
,ZKM88N,ソケットセット,11700,12285,KM550(Z)SS・KM550(Z)GSS,KM550(Z)SS_B.png,,0
,ZKF1,送り座,540,567,KM550(Z)SS・KM550(Z)GSS,KM550(Z)SS_B.png,,0
,寒冷地用(KM550Z(G)SS),,,,KM550(Z)SS・KM550(Z)GSS,KM550(Z)SS_B.png,,0
,PZ940W,吐水口セット(アダプター付）,6300,6615,KM550(Z)SS・KM550(Z)GSS,KM550(Z)SS_B.png,,0
,Z940AW,吐水口接続部,4730,4967,KM550(Z)SS・KM550(Z)GSS,KM550(Z)SS_B.png,,0
,Z97,水抜きスピンドル,570,599,KM550(Z)SS・KM550(Z)GSS,KM550(Z)SS_B.png,,0
,Z420,ソケットセット,14000,14700,KM550(Z)SS・KM550(Z)GSS,KM550(Z)SS_B.png,,0
,Z89N,流量調節止水弁,940,987,KM550(Z)SS・KM550(Z)GSS,KM550(Z)SS_B.png,,0
,KM550GSS仕様,,,,KM550(Z)SS・KM550(Z)GSS,KM550(Z)SS_B.png,,0
,ZK1S568G,レバーハンドルセット　メッキ,2460,2583,KM550(Z)SS・KM550(Z)GSS,KM550(Z)SS_B.png,,0
,ZK3S568G,キャップ　メタリックグレー,430,452,KM550(Z)SS・KM550(Z)GSS,KM550(Z)SS_B.png,,0
,PZK1S550,レバーハンドルセット 白,1260,1323,KM550(Z)SS・KM550(Z)GSS,KM550(Z)SS_B.png,,0
,ZK3S550,キャップ　白,290,305,KM550(Z)T(G)・KM550(Z)HT,KM550(Z)T(G)_B.png,,0
,Z44482,丸小ねじ,110,116,KM550(Z)T(G)・KM550(Z)HT,KM550(Z)T(G)_B.png,,0
,Z113,カートリッジ締付ナット,2520,2646,KM550(Z)T(G)・KM550(Z)HT,KM550(Z)T(G)_B.png,,0
,PZ110S,カートリッジ,4260,4473,KM550(Z)T(G)・KM550(Z)HT,KM550(Z)T(G)_B.png,,0
,PZ511-17,吐水口,2420,2541,KM550(Z)T(G)・KM550(Z)HT,KM550(Z)T(G)_B.png,,0
,Z511CP,吐水口先端部一式,2100,2205,KM550(Z)T(G)・KM550(Z)HT,KM550(Z)T(G)_B.png,,0
,PZ511CP3,整流器キャップセット,950,998,KM550(Z)T(G)・KM550(Z)HT,KM550(Z)T(G)_B.png,,0
,PZ42,パッキンセット,260,273,KM550(Z)T(G)・KM550(Z)HT,KM550(Z)T(G)_B.png,,0
,ZK121-13,Xパッキン,110,116,KM550(Z)T(G)・KM550(Z)HT,KM550(Z)T(G)_B.png,,0
,PZKF79-15,ソケット部接続パッキン(2ヶ入),180,189,KM550(Z)T(G)・KM550(Z)HT,KM550(Z)T(G)_B.png,,0
,Z608Y,分岐ソケット,4610,4841,KM550(Z)T(G)・KM550(Z)HT,KM550(Z)T(G)_B.png,,0
,ZKF60G,流量調節止水弁,830,872,KM550(Z)T(G)・KM550(Z)HT,KM550(Z)T(G)_B.png,,0
,ZKM88N,ソケットセット,11700,12285,KM550(Z)T(G)・KM550(Z)HT,KM550(Z)T(G)_B.png,,0
,ZKF1,送り座,540,567,KM550(Z)T(G)・KM550(Z)HT,KM550(Z)T(G)_B.png,,0
,PK19STU,分岐水栓,5150,5408,KM550(Z)T(G)・KM550(Z)HT,KM550(Z)T(G)_B.png,,0
,KM550TG仕様,,,,KM550(Z)T(G)・KM550(Z)HT,KM550(Z)T(G)_B.png,,0
,ZK1S556G,レバーハンドルセット メッキ,3670,3854,KM550(Z)T(G)・KM550(Z)HT,KM550(Z)T(G)_B.png,,0
,ZK3S556G,キャップ　メタリックグレー,310,326,KM550(Z)T(G)・KM550(Z)HT,KM550(Z)T(G)_B.png,,0
,PZ520-17,吐水口,5520,5796,KM550(Z)T(G)・KM550(Z)HT,KM550(Z)T(G)_B.png,,0
,Z520CP4,吐水口先端部一式,1130,1187,KM550(Z)T(G)・KM550(Z)HT,KM550(Z)T(G)_B.png,,0
,PZ520CP3,整流器キャップセット,1160,1218,KM550(Z)T(G)・KM550(Z)HT,KM550(Z)T(G)_B.png,,0
,K19GSTU,分岐水栓,5780,6069,KM550(Z)T(G)・KM550(Z)HT,KM550(Z)T(G)_B.png,,0
,KM550HT仕様,,,,KM550(Z)T(G)・KM550(Z)HT,KM550(Z)T(G)_B.png,,0
,Z37613,分岐ソケット,8910,9356,KM550(Z)T(G)・KM550(Z)HT,KM550(Z)T(G)_B.png,,0
,寒冷地用(KM550ZT・KM550ZTG・KM550ZHT),,,,KM550(Z)T(G)・KM550(Z)HT,KM550(Z)T(G)_B.png,,0
,Z89N,流量調節止水弁,940,987,KM550(Z)T(G)・KM550(Z)HT,KM550(Z)T(G)_B.png,,0
,Z420,ソケットセット,14000,14700,KM550(Z)T(G)・KM550(Z)HT,KM550(Z)T(G)_B.png,,0
,PZK1S550,レバーハンドルセット　白,1260,1323,KM550(Z)T(G)・KM550(Z)HT,KM550(Z)T(G)_B.png,,0
,ZK3S550,キャップ　白,290,305,KM550(Z)(W)U,KM550(Z)(W)U_B.png,,0
,Z44482,丸小ねじ,110,116,KM550(Z)(W)U,KM550(Z)(W)U_B.png,,0
,Z113,カートリッジ締付ナット,2520,2646,KM550(Z)(W)U,KM550(Z)(W)U_B.png,,0
,PZ110S,カートリッジ,4260,4473,KM550(Z)(W)U,KM550(Z)(W)U_B.png,,0
,PZ511-17,吐水口,2420,2541,KM550(Z)(W)U,KM550(Z)(W)U_B.png,,0
,Z511CP,吐水口先端部一式,2100,2205,KM550(Z)(W)U,KM550(Z)(W)U_B.png,,0
,PZ511CP3,整流器キャップセット,950,998,KM550(Z)(W)U,KM550(Z)(W)U_B.png,,0
,PZ42,パッキンセット,260,273,KM550(Z)(W)U,KM550(Z)(W)U_B.png,,0
,ZK121-13,Xパッキン,110,116,KM550(Z)(W)U,KM550(Z)(W)U_B.png,,0
,Z844,ソケットセット,10200,10710,KM550(Z)(W)U,KM550(Z)(W)U_B.png,,0
,Z673,ストレーナ付流量調節止水弁,1370,1439,KM550(Z)(W)U,KM550(Z)(W)U_B.png,,0
,PZKF79-15,ソケット部接続パッキン(2ヶ入),180,189,KM550(Z)(W)U,KM550(Z)(W)U_B.png,,0
,Z411614,逆止弁(KM550(W)U仕様）,850,893,KM550(Z)(W)U,KM550(Z)(W)U_B.png,,0
,ZK16,パッキン,70,74,KM550(Z)(W)U,KM550(Z)(W)U_B.png,,0
,PZ411489S,アタッチメントセット(2ヶ入),2100,2205,KM550(Z)(W)U,KM550(Z)(W)U_B.png,,0
,Z42349,パッキン,110,116,KM550(Z)(W)U,KM550(Z)(W)U_B.png,,0
,PZ411487,アタッチメント,900,945,KM550(Z)(W)U,KM550(Z)(W)U_B.png,,0
,Z42350,パッキン,150,158,KM550(Z)(W)U,KM550(Z)(W)U_B.png,,0
,寒冷地用(KM550WU),,,,KM550(Z)(W)U,KM550(Z)(W)U_B.png,,0
,Z403,水抜きスピンドル　　,490,515,KM550(Z)(W)U,KM550(Z)(W)U_B.png,,0
,KM550ZU仕様,,,,KM550(Z)(W)U,KM550(Z)(W)U_B.png,,0
,Z411614・Z403はついておりません。,,,,KM550(Z)(W)U,KM550(Z)(W)U_B.png,,0
,ZK1S828G,レバーハンドルセット,3670,3854,KM550(Z)(W)U,KM550(Z)(W)U_B.png,,0
,ZK3S828G,キャップ,570,599,KM555(Z)(W)G・KM555(Z)GR2・KM555(Z)(W)HG,KM555(Z)(W)G_B.png,,0
,Z44482,丸小ねじ,110,116,KM555(Z)(W)G・KM555(Z)GR2・KM555(Z)(W)HG,KM555(Z)(W)G_B.png,,0
,Z113,カートリッジ締付ナット,2520,2646,KM555(Z)(W)G・KM555(Z)GR2・KM555(Z)(W)HG,KM555(Z)(W)G_B.png,,0
,PZ110S,カートリッジ,4260,4473,KM555(Z)(W)G・KM555(Z)GR2・KM555(Z)(W)HG,KM555(Z)(W)G_B.png,,0
,Z38324,吐水口,5520,5796,KM555(Z)(W)G・KM555(Z)GR2・KM555(Z)(W)HG,KM555(Z)(W)G_B.png,,0
,Z38324-24,吐水口,8090,8495,KM555(Z)(W)G・KM555(Z)GR2・KM555(Z)(W)HG,KM555(Z)(W)G_B.png,,0
,Z520CP4,吐水口先端部一式,1130,1187,KM555(Z)(W)G・KM555(Z)GR2・KM555(Z)(W)HG,KM555(Z)(W)G_B.png,,0
,ZK121-13,Xパッキン,110,116,KM555(Z)(W)G・KM555(Z)GR2・KM555(Z)(W)HG,KM555(Z)(W)G_B.png,,0
,PZKF79-15,ソケット部接続パッキン(2ヶ入),180,189,KM555(Z)(W)G・KM555(Z)GR2・KM555(Z)(W)HG,KM555(Z)(W)G_B.png,,0
,ZKF60G,流量調節止水弁,830,872,KM555(Z)(W)G・KM555(Z)GR2・KM555(Z)(W)HG,KM555(Z)(W)G_B.png,,0
,ZKM88N,ソケットセット,11700,12285,KM555(Z)(W)G・KM555(Z)GR2・KM555(Z)(W)HG,KM555(Z)(W)G_B.png,,0
,ZKF1,送り座,540,567,KM555(Z)(W)G・KM555(Z)GR2・KM555(Z)(W)HG,KM555(Z)(W)G_B.png,,0
,KM555HG仕様,,,,KM555(Z)(W)G・KM555(Z)GR2・KM555(Z)(W)HG,KM555(Z)(W)G_B.png,,0
,Z943GF,吐水口,7460,7833,KM555(Z)(W)G・KM555(Z)GR2・KM555(Z)(W)HG,KM555(Z)(W)G_B.png,,0
,Z586JFCP,吐水口先端部一式,1080,1134,KM555(Z)(W)G・KM555(Z)GR2・KM555(Z)(W)HG,KM555(Z)(W)G_B.png,,0
,寒冷地用(KM555WG・KM555ZG(R2)・KM555WHG・KM555ZHG),,,,KM555(Z)(W)G・KM555(Z)GR2・KM555(Z)(W)HG,KM555(Z)(W)G_B.png,,0
,Z420,ソケットセット,14000,14700,KM555(Z)(W)G・KM555(Z)GR2・KM555(Z)(W)HG,KM555(Z)(W)G_B.png,,0
,Z89N,流量調節止水弁,940,987,KM555(Z)(W)G・KM555(Z)GR2・KM555(Z)(W)HG,KM555(Z)(W)G_B.png,,0
,KM555WG・KM555WHG仕様,,,,KM555(Z)(W)G・KM555(Z)GR2・KM555(Z)(W)HG,KM555(Z)(W)G_B.png,,0
,Z403,水抜きスピンドル(W仕様),490,515,KM555(Z)(W)G・KM555(Z)GR2・KM555(Z)(W)HG,KM555(Z)(W)G_B.png,,0
,Z411614,逆止弁(W仕様),850,893,KM555(Z)(W)G・KM555(Z)GR2・KM555(Z)(W)HG,KM555(Z)(W)G_B.png,,0
,KM555WHG・KM555ZHG  ,,,,KM555(Z)(W)G・KM555(Z)GR2・KM555(Z)(W)HG,KM555(Z)(W)G_B.png,,0
,Z943WGF,吐水口,7720,8106,KM555(Z)(W)G・KM555(Z)GR2・KM555(Z)(W)HG,KM555(Z)(W)G_B.png,,0
,Z97,水抜きスピンドル,570,599,KM555(Z)(W)G・KM555(Z)GR2・KM555(Z)(W)HG,KM555(Z)(W)G_B.png,,0
,PZK1S550,レバーハンドルセット　白,1260,1323,KM555(Z)(W)G・KM555(Z)GR2・KM555(Z)(W)HG,KM555(Z)(W)G_B.png,,0
,ZK1S556G,レバーハンドルセット　メッキ,3670,3854,KM556(Z)(R20)・KM556(Z)Y・KM556(Z)G(R20)・KM556(Z)GY・KM556(Z)GE・KM556(Z)GF,KM556(Z)(R20)_B.png,,0
,ZK3S550,キャップ　白,290,305,KM556(Z)(R20)・KM556(Z)Y・KM556(Z)G(R20)・KM556(Z)GY・KM556(Z)GE・KM556(Z)GF,KM556(Z)(R20)_B.png,,0
,ZK3S556G,キャップ　メタリックグレー,310,326,KM556(Z)(R20)・KM556(Z)Y・KM556(Z)G(R20)・KM556(Z)GY・KM556(Z)GE・KM556(Z)GF,KM556(Z)(R20)_B.png,,0
,Z44482,丸小ねじ,110,116,KM556(Z)(R20)・KM556(Z)Y・KM556(Z)G(R20)・KM556(Z)GY・KM556(Z)GE・KM556(Z)GF,KM556(Z)(R20)_B.png,,0
,Z413687,エコノッチユニット,1400,1470,KM556(Z)(R20)・KM556(Z)Y・KM556(Z)G(R20)・KM556(Z)GY・KM556(Z)GE・KM556(Z)GF,KM556(Z)(R20)_B.png,,0
,Z79J,カートリッジ締付ナット,3720,3906,KM556(Z)(R20)・KM556(Z)Y・KM556(Z)G(R20)・KM556(Z)GY・KM556(Z)GE・KM556(Z)GF,KM556(Z)(R20)_B.png,,0
,PZ110S,カートリッジ,4260,4473,KM556(Z)(R20)・KM556(Z)Y・KM556(Z)G(R20)・KM556(Z)GY・KM556(Z)GE・KM556(Z)GF,KM556(Z)(R20)_B.png,,0
,Z586JF,吐水口,9610,10091,KM556(Z)(R20)・KM556(Z)Y・KM556(Z)G(R20)・KM556(Z)GY・KM556(Z)GE・KM556(Z)GF,KM556(Z)(R20)_B.png,,0
,Z586JF-20,吐水口,9570,10049,KM556(Z)(R20)・KM556(Z)Y・KM556(Z)G(R20)・KM556(Z)GY・KM556(Z)GE・KM556(Z)GF,KM556(Z)(R20)_B.png,,0
,Z586JFCP,吐水口先端部一式,1080,1134,KM556(Z)(R20)・KM556(Z)Y・KM556(Z)G(R20)・KM556(Z)GY・KM556(Z)GE・KM556(Z)GF,KM556(Z)(R20)_B.png,,0
,PZ213JNPK,Xパッキンセット,570,599,KM556(Z)(R20)・KM556(Z)Y・KM556(Z)G(R20)・KM556(Z)GY・KM556(Z)GE・KM556(Z)GF,KM556(Z)(R20)_B.png,,0
,Z687J2,吐水口,12300,12915,KM556(Z)(R20)・KM556(Z)Y・KM556(Z)G(R20)・KM556(Z)GY・KM556(Z)GE・KM556(Z)GF,KM556(Z)(R20)_B.png,,0
,Z685GN,吐水口シャワーヘッド,5190,5450,KM556(Z)(R20)・KM556(Z)Y・KM556(Z)G(R20)・KM556(Z)GY・KM556(Z)GE・KM556(Z)GF,KM556(Z)(R20)_B.png,,0
,Z684376,ストレーナ,130,137,KM556(Z)(R20)・KM556(Z)Y・KM556(Z)G(R20)・KM556(Z)GY・KM556(Z)GE・KM556(Z)GF,KM556(Z)(R20)_B.png,,0
,Z47249S,トラス小ねじ,100,105,KM556(Z)(R20)・KM556(Z)Y・KM556(Z)G(R20)・KM556(Z)GY・KM556(Z)GE・KM556(Z)GF,KM556(Z)(R20)_B.png,,0
,Z659JAH,吐水口,14700,15435,KM556(Z)(R20)・KM556(Z)Y・KM556(Z)G(R20)・KM556(Z)GY・KM556(Z)GE・KM556(Z)GF,KM556(Z)(R20)_B.png,,0
,Z560AH,吐水口シャワーヘッド,8130,8537,KM556(Z)(R20)・KM556(Z)Y・KM556(Z)G(R20)・KM556(Z)GY・KM556(Z)GE・KM556(Z)GF,KM556(Z)(R20)_B.png,,0
,Z411185,シートパッキン,150,158,KM556(Z)(R20)・KM556(Z)Y・KM556(Z)G(R20)・KM556(Z)GY・KM556(Z)GE・KM556(Z)GF,KM556(Z)(R20)_B.png,,0
,Z660,スピードナット,1540,1617,KM556(Z)(R20)・KM556(Z)Y・KM556(Z)G(R20)・KM556(Z)GY・KM556(Z)GE・KM556(Z)GF,KM556(Z)(R20)_B.png,,0
,Z44525,Oリング,90,95,KM556(Z)(R20)・KM556(Z)Y・KM556(Z)G(R20)・KM556(Z)GY・KM556(Z)GE・KM556(Z)GF,KM556(Z)(R20)_B.png,,0
,Z664,逆止弁ジョイントセット,2920,3066,KM556(Z)(R20)・KM556(Z)Y・KM556(Z)G(R20)・KM556(Z)GY・KM556(Z)GE・KM556(Z)GF,KM556(Z)(R20)_B.png,,0
,寒冷地用(KM556Z(Y)(G)(GY)(GE)(GF)(R20)(GR20)),,,,KM556(Z)(R20)・KM556(Z)Y・KM556(Z)G(R20)・KM556(Z)GY・KM556(Z)GE・KM556(Z)GF,KM556(Z)(R20)_B.png,,0
,Z586WJF,吐水口,10500,11025,KM556(Z)(R20)・KM556(Z)Y・KM556(Z)G(R20)・KM556(Z)GY・KM556(Z)GE・KM556(Z)GF,KM556(Z)(R20)_B.png,,0
,Z586WJF-20,吐水口,10500,11025,KM556(Z)(R20)・KM556(Z)Y・KM556(Z)G(R20)・KM556(Z)GY・KM556(Z)GE・KM556(Z)GF,KM556(Z)(R20)_B.png,,0
,Z687WJ2,吐水口,13300,13965,KM556(Z)(R20)・KM556(Z)Y・KM556(Z)G(R20)・KM556(Z)GY・KM556(Z)GE・KM556(Z)GF,KM556(Z)(R20)_B.png,,0
